GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0035726	4930.59995183402	0.0232301290512792	0.0855864809484238	0.271422878868897	0.786065807472563	0.937449035076529	chr3L	6969657	6971666	+	protein_coding	CG9953
FBgn0035824	148.586046036699	-0.0442548079473831	0.163358902445686	-0.270905394715767	0.786463795747612	0.937614284135728	chr3L	7912462	7913763	+	protein_coding	CG8281
FBgn0036988	171.700289991602	0.0471489586169921	0.1739445400249	0.271057422154457	0.786346868233318	0.937614284135728	chr3L	20427961	20430475	-	protein_coding	CG5262
FBgn0019830	618.533084285657	-0.0324117961302632	0.119680239812245	-0.27081994639308	0.786529517971677	0.937614284135728	chr2L	2768589	2770069	-	protein_coding	colt
FBgn0263662	10.4015292377898	-0.0597206957900997	0.222200194953206	-0.268769772243793	0.788106855934298	0.937685656813039	chr3R	21592349	21594852	+	ncRNA	lncRNA:CR43653
FBgn0051004	9.44918756199126	0.0572188173417741	0.212250831506772	0.269581122182547	0.787482525130168	0.937685656813039	chr3R	31178388	31195762	-	protein_coding	mesh
FBgn0036579	289.294466805568	0.0354098815757286	0.131581920016871	0.269109020230047	0.787845789266651	0.937685656813039	chr3L	16229099	16231139	+	protein_coding	CG5027
FBgn0036695	352.945981883161	-0.0344459051375834	0.12774818298714	-0.26963910039371	0.787437916331838	0.937685656813039	chr3L	17042796	17044465	+	protein_coding	Papst2
FBgn0011660	403.865791582862	-0.0337660516365416	0.124818549846946	-0.270521101855021	0.786759384970613	0.937685656813039	chr2R	15368073	15371520	-	protein_coding	Pms2
FBgn0015543	10.0787779641044	-0.0579182629758718	0.214745428973238	-0.26970661612122	0.787385970187669	0.937685656813039	chr2R	11893122	11893195	+	snoRNA	snoRNA:Me28S-A1322
FBgn0033179	2385.66146984527	-0.0248246886175205	0.0923598436219205	-0.268782272078562	0.788097236323579	0.937685656813039	chr2R	7465017	7466759	-	protein_coding	p47
FBgn0030007	768.509323673423	0.0299457401285161	0.11134003771027	0.268957517388678	0.787962374611228	0.937685656813039	chrX	8143903	8145602	-	protein_coding	alpha-PheRS
FBgn0030006	118.361764566057	-0.0470437042211248	0.174846553936597	-0.269057085552764	0.78788575380523	0.937685656813039	chrX	8142549	8143835	-	protein_coding	CG17982
FBgn0026375	3184.17226625938	0.0322281054072447	0.119452318400508	0.269798910885832	0.787314960750308	0.937685656813039	chrX	17639146	17652562	-	protein_coding	RhoGAPp190
FBgn0029689	319.039579683354	-0.0371926775761891	0.138028909618238	-0.269455708076352	0.787579021913087	0.937685656813039	chrX	3965434	3968655	-	protein_coding	CG6428
FBgn0023177	1700.36289723652	0.0279696832857763	0.103721978093235	0.269660141466204	0.787421727371506	0.937685656813039	chrX	20421086	20424002	-	protein_coding	Pp4-19C
FBgn0032499	377.936535824884	-0.0353797956800145	0.131506450817404	-0.269034678223801	0.787902996764385	0.937685656813039	chr2L	13286776	13289556	+	protein_coding	Uvrag
FBgn0011747	4480.58244074732	-0.0330295158500456	0.122591168130301	-0.269428184377352	0.787600199779126	0.937685656813039	chr4	115073	129849	-	protein_coding	Ank
FBgn0039627	174.545944428138	-0.0423643159322477	0.15802372159823	-0.268088331952829	0.788631326959997	0.937922684840656	chr3R	29049492	29050721	+	protein_coding	CG11837
FBgn0010333	2975.95554525968	-0.0243339480500117	0.0907305306575526	-0.268200217431287	0.788545207637521	0.937922684840656	chr3L	1300878	1302683	-	protein_coding	Rac1
FBgn0032014	551.189127068434	-0.0298224834043204	0.111170969022158	-0.26825783445655	0.78850086027029	0.937922684840656	chr2L	8305585	8306741	+	protein_coding	CG7840
FBgn0050357	40.1548661449608	0.0590221155233556	0.220328827385621	0.267881948193982	0.78879018928884	0.937982670451925	chr2R	8720099	8721624	-	protein_coding	CG30357
FBgn0267435	60.5524976632124	0.054763217951117	0.204627959882496	0.267623339364591	0.788989263866064	0.938047595396931	chr3R	31204179	31210730	-	protein_coding	chp
FBgn0039664	86.1149177266802	0.0493806573837865	0.187008884079469	0.264055141694778	0.791737429143991	0.938047595396931	chr3R	29489467	29491383	+	protein_coding	CG2006
FBgn0037473	229.618814870099	-0.0395994420170261	0.148524902881879	-0.266618198353708	0.789763142436601	0.938047595396931	chr3R	7126270	7128027	-	protein_coding	CG10068
FBgn0038166	389.038326935606	-0.0316382240131083	0.119663598343927	-0.26439305228125	0.791477064590012	0.938047595396931	chr3R	13675091	13676681	-	protein_coding	CG9588
FBgn0051213	25.0026753199505	0.0614861496072395	0.232567072857044	0.264380287595717	0.791486899525643	0.938047595396931	chr3R	19972897	19979569	+	protein_coding	CG31213
FBgn0035867	875.606227184585	0.0278915967218635	0.104679781235095	0.266446838088277	0.789895096916024	0.938047595396931	chr3L	8300063	8302341	+	protein_coding	CG13671
FBgn0037012	139.957226231921	0.047327340141677	0.178747785394608	0.264771616818614	0.791185403259395	0.938047595396931	chr3L	20527971	20540417	-	protein_coding	Rcd2
FBgn0054001	41.8362050190146	-0.0588459150830072	0.222495975276801	-0.26448080694403	0.791409452271009	0.938047595396931	chr3L	10631078	10634612	+	protein_coding	CG34001
FBgn0036978	9.16171676387738	-0.0567262990684413	0.21387413215856	-0.265232164806102	0.79083061800271	0.938047595396931	chr3L	20361842	20366724	-	protein_coding	Toll-9
FBgn0035964	326.11683162119	0.0372612092450452	0.139926033122084	0.266292186047575	0.790014190545088	0.938047595396931	chr3L	9134559	9135916	+	protein_coding	Dhpr
FBgn0022959	4098.1593290975	-0.0294840866336614	0.111527097720943	-0.264367021433974	0.791497120873866	0.938047595396931	chr3L	12121273	12125150	-	protein_coding	yps
FBti0062726	11.8092809483528	0.0602015675547704	0.22566788086113	0.266770651299804	0.789645752441098	0.938047595396931	chr3L	23698921	23702200	-	transposable_element	NA
FBgn0033869	15.8388356918044	0.0612627854423971	0.231739552509072	0.264360506349035	0.791502140647277	0.938047595396931	chr2R	13794776	13805231	+	protein_coding	Cpr50Cb
FBgn0010660	2216.35100785046	0.0247765781320388	0.0934120072812825	0.265239757212705	0.790824769520324	0.938047595396931	chr2R	22918936	22924742	-	protein_coding	Nup214
FBgn0013726	2277.98162978471	0.0241611882705825	0.091243293469333	0.264799607202946	0.791163839502764	0.938047595396931	chr2R	8237270	8240297	+	protein_coding	pnut
FBgn0034928	13.0034906595062	-0.0607307265866491	0.229808517242055	-0.264266648231676	0.791574457852131	0.938047595396931	chr2R	23903749	23905269	+	protein_coding	CG13562
FBgn0011824	949.699168003773	0.0332661785437726	0.12600363137352	0.264009681158788	0.791772458858905	0.938047595396931	chr2R	21095957	21097305	-	protein_coding	CG4038
FBgn0004132	613.770019267678	0.0326651549308251	0.122804776797689	0.265992543471158	0.790244951677603	0.938047595396931	chr2R	7565872	7566738	-	protein_coding	boca
FBgn0265060	10.1466875955025	0.0574167740450422	0.216721622986449	0.264933296704926	0.791060847484795	0.938047595396931	chr2R	6980394	6981195	-	ncRNA	lncRNA:CR44171
FBgn0029866	20.5001923434517	-0.0623137508670181	0.234014506428587	-0.266281572958957	0.790022363596353	0.938047595396931	chrX	6337761	6343731	+	protein_coding	CG3842
FBgn0031078	5365.83016970781	0.0355150318881	0.134183007751193	0.26467607548307	0.7912590093869	0.938047595396931	chrX	19852213	19859379	+	protein_coding	Nup205
FBgn0264678	201.004162135963	0.0542954839798206	0.204377765824073	0.265662381428309	0.790499237799225	0.938047595396931	chrX	12717623	12730953	-	ncRNA	lncRNA:CR43963
FBgn0061196	66.1541830629152	0.054349956024526	0.204413611838066	0.265882274354515	0.790329876904608	0.938047595396931	chrX	4959928	4961128	-	protein_coding	CG15468
FBgn0261610	288.036013118679	-0.0386950800344975	0.144741576670907	-0.267339080618673	0.789208099396683	0.938047595396931	chrX	5764552	5789576	+	protein_coding	CG42699
FBgn0085352	10.3074707815656	0.0587416514322704	0.220336578310681	0.266599635351706	0.78977743642347	0.938047595396931	chrX	12070436	12071263	+	protein_coding	CG34323
FBgn0032515	142.740200627278	-0.0441704873811471	0.165498153603773	-0.266894140021029	0.789550668631512	0.938047595396931	chr2L	13382651	13385671	+	protein_coding	loqs
FBgn0031657	318.435610796414	-0.0397580715350012	0.149787787219161	-0.265429326870483	0.790678746544124	0.938047595396931	chr2L	4969003	4970216	+	protein_coding	CG3756
FBti0060987	26.8267933559984	-0.0617716438359348	0.234099753260422	-0.263868897662687	0.791880942554861	0.938047656311393	chr3L	23730062	23730733	-	transposable_element	NA
FBgn0035999	101.730155397786	-0.0491455087893756	0.186479260399135	-0.263544099671919	0.792131237876377	0.938215681663271	chr3L	9456317	9459370	+	protein_coding	CG3552
FBgn0031736	794.018675412981	-0.0294213719257034	0.111807812206716	-0.263142363176803	0.792440853065577	0.938453911002095	chr2L	5724655	5762420	+	protein_coding	CG11030
FBti0020226	10.1385072894396	0.0584159887719295	0.22268050720547	0.262330948968193	0.793066303451968	0.938552201253484	chr3L	23070952	23071830	+	transposable_element	NA
FBgn0265737	15.5178476555927	-0.0562482116390847	0.214284473742589	-0.26249317394154	0.792941247319337	0.938552201253484	chr3L	10784589	10785360	+	ncRNA	lncRNA:CR44544
FBgn0030093	1761.33331346649	-0.0295595747828123	0.112441115161253	-0.262889377612633	0.792635843869741	0.938552201253484	chrX	9149308	9151976	+	protein_coding	Bap111
FBgn0002566	1790.9743779505	-0.0328929201852961	0.125228294440959	-0.262663644283713	0.792809840727478	0.938552201253484	chr2L	22924794	22943135	+	protein_coding	lt
FBgn0032166	290.959773290353	-0.0383839823764354	0.146248342949723	-0.262457554063575	0.792968705546589	0.938552201253484	chr2L	9938862	9943058	+	protein_coding	CG4619
FBgn0038717	15.9058159493631	0.0605179274295706	0.232547368741071	0.260239140770301	0.794679314096827	0.938596962254759	chr3R	19607253	19609322	+	protein_coding	CG17751
FBgn0038047	71.0607529463379	-0.0528103117725808	0.202302839527698	-0.261045825633853	0.794057168304297	0.938596962254759	chr3R	12429559	12431235	+	protein_coding	CG5245
FBgn0038053	678.887374694047	-0.0362878918638717	0.138430286194009	-0.262138386487293	0.79321475309738	0.938596962254759	chr3R	12449295	12456355	+	protein_coding	CG18549
FBgn0037440	236.657898712507	0.0387195942811906	0.147810376125735	0.261954507498538	0.793356515487536	0.938596962254759	chr3R	6371025	6376044	-	protein_coding	CRAT
FBgn0038763	795.92036277128	-0.0290155077765618	0.111353489066351	-0.260571159645233	0.79442323277909	0.938596962254759	chr3R	20018268	20021338	-	protein_coding	PIG-L
FBgn0037184	121.466645751662	0.0453553947134227	0.174070148532969	0.260558143344334	0.794433271645152	0.938596962254759	chr3L	22726233	22727789	-	protein_coding	CG14450
FBgn0036107	131.199695761999	0.0500074429365161	0.191350306491193	0.261339758757155	0.793830508535705	0.938596962254759	chr3L	10882889	10883573	+	protein_coding	galla-2
FBgn0029158	208.30364916536	-0.0383501616588081	0.147074598061062	-0.260753129122176	0.794282891770969	0.938596962254759	chr3L	20430604	20432361	-	protein_coding	Las
FBgn0024196	966.28002950777	0.032383435060068	0.123826490552629	0.261522675120185	0.793689465576215	0.938596962254759	chr2R	17456471	17457129	+	protein_coding	robl
FBgn0029799	47.1116136474231	-0.0580899429499964	0.223275665495977	-0.260171402113872	0.794731562653579	0.938596962254759	chrX	5752248	5754041	+	protein_coding	CG15772
FBgn0020513	5237.07152549084	0.0350144726733864	0.133899850292671	0.261497474394884	0.793708896924709	0.938596962254759	chrX	12757035	12760617	-	protein_coding	Paics
FBgn0031092	534.172607805911	-0.0290462466581296	0.111638263842093	-0.260181819910906	0.794723527080578	0.938596962254759	chrX	20166672	20168080	+	protein_coding	CG9577
FBgn0004648	1157.19781427473	0.0257937231406251	0.0988075500432655	0.261050123490873	0.794053853985353	0.938596962254759	chrX	496445	509072	+	protein_coding	svr
FBgn0261976	127.108409707156	-0.0452395317852168	0.173539366067623	-0.260687432542472	0.794333558424839	0.938596962254759	chr2L	4386181	4387356	-	protein_coding	Psf2
FBgn0032192	41.6300353920545	-0.0579905357882981	0.222396837641537	-0.2607525196998	0.794283361766982	0.938596962254759	chr2L	10207084	10209744	-	protein_coding	CG5731
FBgn0010389	10.8100694404199	-0.0572994855074543	0.220709075971412	-0.25961544741765	0.795160419489978	0.938608682050413	chr3R	18045215	18052984	-	protein_coding	htl
FBgn0267679	10.7123734007365	0.0572415179776348	0.221271559031832	0.258693517721362	0.795871721466681	0.938608682050413	chr3R	12370506	12371099	+	ncRNA	lncRNA:CR46015
FBgn0037105	281.359524953856	0.035446471356045	0.136951350235818	0.258825278429233	0.795770052928926	0.938608682050413	chr3L	21613796	21617376	-	protein_coding	S1P
FBgn0029507	1717.53638294387	-0.0257446590093688	0.0991054784990019	-0.259770291201693	0.795040968612819	0.938608682050413	chr2R	7009497	7011739	-	protein_coding	Tsp42Ed
FBgn0034684	43.8357865172548	-0.0574363412409603	0.221951179211205	-0.258779166864912	0.795805632909047	0.938608682050413	chr2R	22058903	22061517	-	protein_coding	CG13501
FBgn0034401	2567.183066956	-0.0271096622651251	0.104485159885783	-0.259459451416448	0.795280764075788	0.938608682050413	chr2R	18846857	18850599	-	protein_coding	MetRS
FBgn0023525	75.8687614983715	0.0515954093815686	0.19872533012746	0.259631770889378	0.79514782687545	0.938608682050413	chrX	2250144	2251993	-	protein_coding	CG3191
FBgn0261089	26.0460235918382	-0.0601905794138612	0.232745113360388	-0.258611571022162	0.795934954516453	0.938608682050413	chr2L	17592259	17604387	+	protein_coding	Sytalpha
FBti0019754	20.7744134356186	0.0585813289626483	0.226430578462903	0.258716509759065	0.79585398021601	0.938608682050413	chr2L	8594519	8601516	-	transposable_element	NA
FBgn0032814	429.571023028017	0.0327824415715761	0.126483223269727	0.259184109355494	0.795493191189292	0.938608682050413	chr2L	19584234	19586440	+	protein_coding	CG10366
FBgn0039924	384.388623796601	0.0358334048725	0.138330296384217	0.259042348705533	0.795602565810959	0.938608682050413	chr4	1192418	1196848	-	protein_coding	PIP4K
FBgn0042206	36.690040873699	0.0577983824243353	0.223862869016159	0.258186552679995	0.796262935598089	0.938851953575719	chr3R	12364775	12365735	-	protein_coding	GstD10
FBgn0050284	15.1743401034003	-0.0595529904350413	0.230769207131689	-0.258062984985069	0.796358297923781	0.938851953575719	chr2R	21650819	21651999	-	protein_coding	CG30284
FBgn0052206	90.9941756793839	0.0520693043493316	0.201994826700656	0.257775435142679	0.796580223857592	0.938881667729829	chr3L	19340320	19412912	-	protein_coding	CG32206
FBgn0085339	42.5196531458906	0.0576091927948144	0.223508814068202	0.257749087144435	0.796600559604317	0.938881667729829	chr2L	6663663	6674780	+	protein_coding	CG34310
FBti0019349	21.0078959262929	0.0599263909751282	0.232760129789748	0.257459862345238	0.796823796350196	0.939016845419635	chr3R	10197006	10202936	+	transposable_element	NA
FBgn0031213	601.047538084235	-0.0381398273121923	0.148321538597241	-0.257142878053328	0.79706847821756	0.939049353814532	chr2L	71756	76211	+	protein_coding	galectin
FBgn0031228	486.779659450403	0.0307268044577428	0.11948955045858	0.25715055701372	0.797062550551211	0.939049353814532	chr2L	114725	156030	+	protein_coding	ND-15
FBgn0038519	651.059159088036	0.0298099082415917	0.116366589207316	0.256172398320303	0.797817720614395	0.939069028019946	chr3R	17545221	17546531	-	protein_coding	Prx3
FBgn0037252	1757.96120413595	-0.0247207706122044	0.096585153359015	-0.255947935603676	0.797991039793628	0.939069028019946	chr3R	4437386	4441328	+	protein_coding	CG14650
FBgn0022986	364.507562941061	-0.0353308410143655	0.137967917937099	-0.256080120238338	0.797888972049788	0.939069028019946	chr2R	22412555	22415518	-	protein_coding	qkr58E-1
FBgn0029763	1169.86049114588	-0.0269004441803655	0.104772033030495	-0.256752144654251	0.797370114857283	0.939069028019946	chrX	5421532	5427219	+	protein_coding	Usp16-45
FBgn0031549	552.885549559947	-0.0302745304606512	0.118326503119702	-0.255855870514696	0.79806213085223	0.939069028019946	chr2L	3527386	3530317	-	protein_coding	Spindly
FBgn0031600	441.073543698678	0.0312539614234165	0.121964470774158	0.256254638953744	0.797754220896229	0.939069028019946	chr2L	4392769	4393876	-	protein_coding	CG3652
FBgn0051998	1140.65491632803	-0.029429656855384	0.114687226607505	-0.256607973929838	0.797481418780162	0.939069028019946	chr4	196674	205945	-	protein_coding	CG31998
FBgn0019650	10.0790067734415	0.0568043902057504	0.221804963549175	0.256100626860663	0.797873137957078	0.939069028019946	chr4	989724	1007922	+	protein_coding	toy
FBgn0022361	113.679981362236	0.0473446345147647	0.184886622828024	0.256073878091241	0.797893791911041	0.939069028019946	chr4	558015	567257	+	protein_coding	Pur-alpha
FBgn0004118	27.3696384835912	0.0591957647946062	0.231635487188437	0.25555568152841	0.798293943189325	0.939086334312055	chr3R	24509227	24515106	-	protein_coding	nAChRbeta2
FBgn0035317	15.318281416459	-0.0585315036745616	0.228923724466381	-0.255681248463863	0.798196975559125	0.939086334312055	chr3L	2229645	2235253	+	protein_coding	Oseg2
FBgn0039215	1239.82796162577	-0.0250544859393447	0.0983702248084887	-0.254695828825458	0.798958038143161	0.939445201388952	chr3R	24655159	24659379	+	protein_coding	CG6695
FBgn0034001	121.363291368662	0.044103982223341	0.173325395758359	0.25445770384871	0.79914197630578	0.939445201388952	chr2R	15217023	15217617	-	protein_coding	mRpL41
FBgn0029958	333.229182630179	0.0350596155043116	0.137484178608411	0.255008364301829	0.798716638981676	0.939445201388952	chrX	7731778	7734651	-	protein_coding	Pdp
FBgn0286222	1638.82695555579	0.0296480775559489	0.116390852141019	0.254728589150867	0.798932733505526	0.939445201388952	chrX	6678423	6681845	+	protein_coding	Fum1
FBgn0051694	1849.13646826958	-0.0223274136576129	0.0877212177705686	-0.254526945989388	0.799088489493608	0.939445201388952	chr2L	2868626	2874489	-	protein_coding	CG31694
FBgn0011666	1487.11081135639	0.0357022249443781	0.140413949023609	0.254264089804747	0.799291540489961	0.939493358257969	chr3R	25516117	25608423	+	protein_coding	msi
FBgn0001185	450.953751868731	0.0307408174364398	0.121091702267412	0.253863946586145	0.799600668946656	0.939729029623356	chr2L	16677184	16679691	+	protein_coding	her
FBgn0035475	97.4524958524061	-0.0473077550902186	0.186512908338358	-0.253643329631622	0.799771118802238	0.939801677364597	chr3L	3936059	3937992	-	protein_coding	CG10866
FBgn0028734	3783.71114695566	0.023837290196342	0.0944509213590679	0.252377529550202	0.800749266934251	0.940126263383607	chr3R	10101419	10110121	-	protein_coding	Fmr1
FBgn0039250	781.120380287926	-0.0282174364746056	0.111589998638314	-0.252867074280231	0.80037093366907	0.940126263383607	chr3R	24922472	24925160	+	protein_coding	Mink
FBgn0051342	2368.69352532572	-0.024752466472753	0.0978363046055009	-0.252998787848343	0.800269149891128	0.940126263383607	chr3R	12986040	12991543	+	protein_coding	CG31342
FBgn0037005	10.4526979944729	0.0553018308399308	0.218732621385443	0.252828455534668	0.800400777568542	0.940126263383607	chr3L	20506031	20507375	+	protein_coding	CG5078
FBgn0265348	31.3213528806383	-0.0585429915073841	0.231710590122902	-0.252655657543888	0.800534316439206	0.940126263383607	chr2R	10859694	10860191	+	ncRNA	lncRNA:CR44302
FBgn0034612	14.1564297036461	0.0584004171393338	0.231504963813991	0.25226421143288	0.800836848872912	0.940126263383607	chr2R	21285247	21290343	-	protein_coding	CG10505
FBgn0034246	2849.84374856137	-0.0252287425107986	0.100050188108104	-0.252160870337785	0.800916721897721	0.940126263383607	chr2R	17574978	17581525	-	protein_coding	Dcr-2
FBgn0031392	874.561943410224	-0.0257216689433719	0.101934701754199	-0.25233476432193	0.800782319268238	0.940126263383607	chr2L	2151753	2155389	+	protein_coding	AIF
FBgn0026316	541.514472757457	0.0306506183287502	0.121801334471845	0.251644355635818	0.801315970755624	0.940467299281903	chr2R	17788411	17789410	-	protein_coding	Ubc10
FBgn0035420	2083.35713038973	-0.0254998398012173	0.101416529358363	-0.25143672301299	0.801476478566275	0.940528081399464	chr3L	3210991	3218920	-	protein_coding	hob
FBgn0040298	273.424656773692	-0.0351273699054744	0.139871817478897	-0.251139725919227	0.801706083031357	0.940669920562088	chr3L	5777475	5779591	-	protein_coding	Myt1
FBgn0266690	63.4722250211624	-0.0512596448518859	0.204852418158204	-0.250227189470124	0.802411659775903	0.940734180013431	chr3L	25708176	25709251	+	ncRNA	lncRNA:CR45180
FBgn0036763	491.528761154704	0.0296959025278314	0.118499075067219	0.250600289588642	0.802123157804466	0.940734180013431	chr3L	17849726	17852453	+	protein_coding	TrpRS-m
FBgn0003435	172.572487799616	0.0451641306075271	0.180306027334777	0.250485972516438	0.802211551322304	0.940734180013431	chr2R	19517863	19631508	-	protein_coding	sm
FBgn0026309	404.138516668236	0.0302272877921478	0.120645547866081	0.250546235039693	0.802164954148389	0.940734180013431	chr2R	17786134	17788556	+	protein_coding	aft
FBgn0030694	221.926556261562	-0.0363470425520548	0.145339080847624	-0.250084439368113	0.802522049300557	0.940734180013431	chrX	15799425	15800961	+	protein_coding	CG15602
FBgn0032230	12.0189480444763	-0.0565975347652457	0.226233319505316	-0.250173294053248	0.802453336967328	0.940734180013431	chr2L	10364470	10366410	+	protein_coding	lft
FBgn0000559	106567.988571722	-0.0219307478767568	0.087679411343434	-0.250124259968576	0.802491255390889	0.940734180013431	chr2L	21677912	21682164	-	protein_coding	eEF2
FBgn0011336	3718.44015020326	0.0297953933143131	0.119846291134179	0.248613394977358	0.803659846076767	0.941281434742381	chr3R	25066711	25069637	-	protein_coding	Stt3B
FBgn0035825	486.301710419203	0.0326016687091378	0.13119586756101	0.248496155520883	0.80375054426563	0.941281434742381	chr3L	7913663	7915120	-	protein_coding	CG8111
FBgn0034687	9.91324658348713	0.0553820570084384	0.222633834876076	0.248758491894395	0.803547600602238	0.941281434742381	chr2R	22069724	22071286	-	protein_coding	CG11475
FBgn0034627	99.1458946682041	0.0464497483076073	0.186878729175447	0.248555566021637	0.803704583087495	0.941281434742381	chr2R	21384551	21386221	-	protein_coding	eEFSec
FBgn0029936	213.526029582797	0.0364543518025166	0.146550766228292	0.248748967615285	0.80355496836185	0.941281434742381	chrX	7102554	7104491	-	protein_coding	CG4617
FBgn0030530	1779.62444922748	0.0262167177147142	0.105479848033102	0.248547169943653	0.803711078423919	0.941281434742381	chrX	13826040	13830317	-	protein_coding	jub
FBgn0027084	1970.81304044616	-0.0267098585246611	0.107328518006527	-0.248860778297869	0.803468475332818	0.941281434742381	chrX	9606362	9608884	-	protein_coding	LysRS
FBgn0004391	1430.06660483409	0.0254819018027676	0.102808091899796	0.247858911996968	0.804243571526305	0.941731339641861	chrX	15455543	15462441	-	protein_coding	shtd
FBgn0038488	514.271291124133	-0.0290292460514532	0.118306469123441	-0.245373277273317	0.806167418291957	0.942397405358844	chr3R	17144474	17149412	-	protein_coding	m-cup
FBgn0265296	11.7458302749893	-0.0526464772157241	0.213700498098799	-0.246356361749724	0.80540638362707	0.942397405358844	chr3L	7159198	7189931	-	protein_coding	Dscam2
FBgn0036908	383.684061243719	-0.0310735236867188	0.12680787608315	-0.245044114344629	0.806422274078707	0.942397405358844	chr3L	19803737	19805080	-	protein_coding	TORIP
FBgn0052218	116.89194331059	0.0477130288423384	0.194848663944391	0.244872240211796	0.806555356522585	0.942397405358844	chr3L	19895215	19896391	-	ncRNA	lncRNA:CR32218
FBgn0036340	1712.43507828475	0.0240303940240608	0.0979892562248423	0.245234987485992	0.80627448723768	0.942397405358844	chr3L	13036820	13040976	+	protein_coding	Srrm1
FBgn0047178	96.2650537879735	-0.0480621153630767	0.195501853048731	-0.245839692123516	0.805806329878578	0.942397405358844	chr3L	15143062	15144059	-	protein_coding	CG32147
FBgn0043025	44.6612356171576	-0.0545412737906918	0.221753841646807	-0.245954132679969	0.805717738767012	0.942397405358844	chr3L	17754935	17764158	-	protein_coding	Adgf-A2
FBgn0033907	231.780512370597	0.0377504100469795	0.153801254321581	0.245449298924752	0.806108561132403	0.942397405358844	chr2R	14172985	14173596	-	protein_coding	mRpS16
FBgn0034243	1472.65883420106	-0.0235059375422509	0.0958379617672206	-0.245267502655619	0.806249312492946	0.942397405358844	chr2R	17565778	17568456	-	protein_coding	Ns2
FBgn0034500	278.633404829546	-0.0366893171363602	0.14868240840258	-0.246762999944272	0.805091646857922	0.942397405358844	chr2R	20304516	20308671	-	protein_coding	CG11200
FBgn0030457	508.365063432592	0.0295331180717646	0.1197614223449	0.246599593537829	0.805218119144282	0.942397405358844	chrX	13159603	13162854	+	protein_coding	CG12096
FBgn0052649	725.396456833194	0.0264064887848981	0.10732594709326	0.246040118909479	0.805651176456072	0.942397405358844	chrX	12898767	12901114	-	protein_coding	Coq8
FBgn0283728	66.1847850996585	0.0525777293377253	0.214388199294215	0.245245444995648	0.806266390529244	0.942397405358844	chr2L	21914268	21915358	-	protein_coding	CG31600
FBgn0032235	26.6766959041895	0.0571056703046105	0.232201023230721	0.245932035570183	0.805734844462339	0.942397405358844	chr2L	10382262	10384723	+	protein_coding	CG5096
FBgn0029137	29.642454069868	0.056824430553043	0.231289157288831	0.2456856655934	0.805925569352911	0.942397405358844	chr2L	12100764	12103285	-	protein_coding	Patsas
FBgn0051992	5156.36711119377	0.0218578046820874	0.0892212331506104	0.244984337362724	0.806468558865617	0.942397405358844	chr4	649040	660608	-	protein_coding	gw
FBti0061719	13.2396758802205	0.0552320345372769	0.226077739276388	0.244305497365903	0.806994226172374	0.942782856261608	chrX	22770909	22771333	-	transposable_element	NA
FBgn0037235	806.527785675321	0.0267794702153817	0.109703322534777	0.244108105357451	0.807147095242935	0.942834123811319	chr3R	4337754	4339914	+	protein_coding	CG1103
FBgn0039291	76.7140085564828	-0.0478121929914984	0.196321209654689	-0.243540639728105	0.807586606642736	0.942835202267634	chr3R	25214324	25215188	-	protein_coding	CG13663
FBgn0038735	346.44883369221	-0.0321832883468658	0.132297248726248	-0.243264985906547	0.807800126959468	0.942835202267634	chr3R	19847310	19854403	+	protein_coding	MICU3
FBgn0036314	634.644162016479	0.0295349980907434	0.121552569086407	0.242981273968369	0.808019904012512	0.942835202267634	chr3L	12813027	12814019	-	protein_coding	Sf3a2
FBgn0035534	103.6678259989	0.0474947597321531	0.195417719776271	0.243042236837727	0.807972677933079	0.942835202267634	chr3L	4364549	4365243	+	protein_coding	mRpS6
FBgn0026593	97.4590854362321	-0.0439133609537338	0.18053811095728	-0.243235961210011	0.807822610203524	0.942835202267634	chr3L	2189159	2192221	-	protein_coding	CG5707
FBgn0259221	338.90234428133	-0.0339047817641725	0.139421839809614	-0.243181282146835	0.807864966382339	0.942835202267634	chr2R	13414977	13439051	-	protein_coding	ATP8A
FBti0019201	24.4107416484471	0.0566059829608446	0.232943594446455	0.24300295998848	0.808003104432593	0.942835202267634	chr2L	19147424	19154402	+	transposable_element	NA
FBgn0042127	12.1984193516128	-0.053568382519894	0.219835874304954	-0.243674435254296	0.807482974344416	0.942835202267634	chr2L	11993988	11995432	-	protein_coding	CG18789
FBgn0028688	1398.15948194749	0.0277543235925513	0.115382582166385	0.240541709774954	0.809910332504082	0.942885796167895	chr3R	22460661	22462054	-	protein_coding	Rpn7
FBti0019384	191.216425244581	-0.0464654425369346	0.192937434391603	-0.240831659669653	0.809685590805798	0.942885796167895	chr3R	15618785	15626202	+	transposable_element	NA
FBgn0038947	1992.58604306512	0.0225883174762104	0.0935028948948722	0.241578803539795	0.809106547998843	0.942885796167895	chr3R	22356684	22360711	+	protein_coding	Sar1
FBgn0038106	613.435473773555	0.0293844517087662	0.121637379686091	0.241574191951507	0.809110121698487	0.942885796167895	chr3R	12995619	12996925	+	protein_coding	CG7488
FBgn0037188	59.6396376206317	-0.0504373089750909	0.208044774112264	-0.242434875811272	0.808443213248491	0.942885796167895	chr3L	22741792	22748614	+	protein_coding	CG7369
